iter	Passed	Remaining
0	1	141
1	2	141
2	4	138
3	4	119
4	6	119
5	7	120
6	9	125
7	10	124
8	13	139
9	15	136
10	16	130
11	17	125
12	18	126
13	19	122
14	21	119
15	22	119
16	25	124
17	27	124
18	28	122
19	29	119
20	31	117
21	32	115
22	33	113
23	35	113
24	37	112
25	39	112
26	40	110
27	42	110
28	44	108
29	46	107
30	46	104
31	48	102
32	49	99
33	50	98
34	51	96
35	55	98
36	58	99
37	60	98
38	61	96
39	63	94
40	64	92
41	65	89
42	66	87
43	67	86
44	69	84
45	71	83
46	73	83
47	75	81
48	76	79
49	78	78
50	79	76
51	80	74
52	81	72
53	83	71
54	84	69
55	86	67
56	87	66
57	89	64
58	90	62
59	91	60
60	92	59
61	94	57
62	95	55
63	96	54
64	99	53
65	102	52
66	103	50
67	104	49
68	105	47
69	107	45
70	108	44
71	109	42
72	111	41
73	113	40
74	115	38
75	117	37
76	118	35
77	119	33
78	121	32
79	122	30
80	124	29
81	125	27
82	126	25
83	127	24
84	128	22
85	131	21
86	132	19
87	133	18
88	134	16
89	136	15
90	137	13
91	138	12
92	139	10
93	141	9
94	142	7
95	144	6
96	146	4
97	147	3
98	149	1
99	150	0
