iter	Passed	Remaining
0	167	167519
1	169	84675
2	171	57029
3	173	43292
4	176	35054
5	178	29595
6	180	25599
7	182	22591
8	183	20220
9	185	18323
10	186	16788
11	188	15501
12	189	14394
13	190	13437
14	192	12634
15	193	11915
16	195	11285
17	196	10722
18	197	10213
19	199	9759
20	200	9342
21	201	8955
22	202	8612
23	203	8279
24	204	7973
25	205	7698
26	206	7449
27	207	7217
28	209	6999
29	210	6796
30	211	6607
31	212	6429
32	214	6272
33	215	6124
34	216	5980
35	217	5829
36	218	5682
37	218	5543
38	219	5412
39	220	5288
40	221	5173
41	222	5065
42	222	4957
43	223	4855
44	224	4757
45	224	4664
46	225	4575
47	226	4489
48	227	4408
49	228	4339
50	229	4262
51	229	4186
52	230	4115
53	230	4045
54	231	3977
55	232	3911
56	232	3848
57	233	3787
58	233	3728
59	234	3672
60	235	3619
61	235	3566
62	236	3514
63	236	3465
64	237	3419
65	238	3371
66	238	3325
67	239	3281
68	239	3237
69	240	3195
70	241	3154
71	243	3134
72	243	3098
73	244	3061
74	245	3024
75	245	2989
76	246	2954
77	246	2919
78	247	2885
79	248	2853
80	248	2821
81	249	2790
82	249	2757
83	250	2728
84	250	2699
85	251	2672
86	252	2644
87	252	2618
88	253	2591
89	253	2565
90	254	2540
91	254	2516
92	255	2492
93	256	2468
94	259	2468
95	259	2446
96	260	2425
97	261	2402
98	261	2380
99	262	2359
100	262	2339
101	263	2318
102	263	2298
103	264	2279
104	265	2260
105	265	2242
106	266	2224
107	267	2205
108	267	2187
109	268	2170
110	268	2153
111	269	2136
112	270	2119
113	270	2103
114	271	2086
115	273	2086
116	274	2070
117	275	2057
118	275	2042
119	276	2028
120	277	2014
121	277	1998
122	278	1984
123	279	1971
124	279	1957
125	280	1943
126	280	1929
127	281	1916
128	281	1903
129	282	1890
130	283	1878
131	283	1866
132	284	1853
133	285	1842
134	285	1830
135	286	1818
136	287	1813
137	289	1806
138	289	1795
139	290	1784
140	291	1775
141	291	1763
142	292	1752
143	293	1742
144	293	1731
145	294	1721
146	294	1710
147	295	1700
148	296	1690
149	296	1681
150	297	1671
151	297	1662
152	298	1652
153	299	1642
154	299	1633
155	300	1624
156	300	1615
157	301	1606
158	302	1599
159	303	1594
160	304	1585
161	304	1577
162	305	1570
163	306	1564
164	307	1555
165	308	1547
166	308	1541
167	309	1533
168	310	1526
169	311	1519
170	311	1511
171	312	1504
172	313	1496
173	313	1489
174	314	1481
175	315	1474
176	315	1467
177	316	1460
178	317	1455
179	318	1449
180	319	1444
181	320	1440
182	321	1435
183	322	1429
184	323	1423
185	323	1417
186	324	1410
187	325	1404
188	325	1398
189	326	1392
190	327	1386
191	328	1380
192	328	1375
193	329	1369
194	330	1363
195	330	1357
196	331	1351
197	332	1347
198	333	1343
199	334	1338
200	335	1333
201	336	1328
202	337	1323
203	337	1317
204	338	1311
205	338	1306
206	339	1301
207	340	1295
208	341	1291
209	341	1286
210	342	1281
211	343	1275
212	343	1270
213	344	1265
214	345	1259
215	345	1254
216	346	1249
217	348	1250
218	349	1247
219	350	1243
220	351	1240
221	352	1235
222	353	1230
223	353	1225
224	354	1220
225	354	1215
226	355	1211
227	356	1206
228	356	1201
229	357	1196
230	358	1192
231	358	1187
232	359	1183
233	360	1178
234	360	1174
235	361	1169
236	362	1165
237	363	1162
238	364	1159
239	365	1156
240	366	1152
241	366	1149
242	367	1145
243	368	1140
244	368	1136
245	369	1132
246	370	1128
247	370	1124
248	371	1120
249	372	1116
250	372	1112
251	373	1108
252	374	1104
253	374	1100
254	375	1096
255	375	1092
256	376	1088
257	377	1086
258	378	1083
259	379	1080
260	380	1078
261	381	1075
262	382	1071
263	383	1068
264	384	1065
265	384	1061
266	385	1058
267	386	1054
268	387	1052
269	387	1048
270	388	1045
271	389	1042
272	390	1039
273	390	1035
274	391	1033
275	393	1030
276	394	1028
277	395	1026
278	395	1022
279	396	1020
280	397	1017
281	398	1013
282	398	1010
283	399	1007
284	400	1003
285	400	1000
286	401	997
287	402	994
288	402	990
289	403	987
290	404	984
291	404	981
292	405	978
293	406	974
294	408	975
295	408	972
296	409	969
297	410	967
298	411	965
299	412	962
300	413	959
301	414	956
302	414	953
303	415	950
304	415	947
305	416	944
306	417	941
307	417	938
308	418	935
309	418	932
310	419	929
311	420	926
312	420	923
313	422	923
314	423	921
315	424	918
316	425	916
317	426	914
318	427	912
319	428	910
320	428	907
321	429	904
322	430	901
323	430	898
324	431	895
325	431	893
326	432	890
327	433	887
328	433	884
329	434	881
330	434	879
331	435	876
332	437	876
333	438	874
334	439	871
335	440	869
336	441	868
337	442	866
338	442	863
339	443	861
340	444	858
341	444	855
342	445	853
343	445	850
344	446	847
345	447	845
346	447	842
347	448	839
348	448	837
349	449	834
350	450	832
351	450	829
352	452	829
353	453	827
354	454	825
355	455	824
356	456	822
357	457	820
358	458	818
359	458	815
360	459	813
361	459	810
362	460	808
363	461	805
364	461	803
365	462	800
366	463	798
367	463	796
368	464	793
369	464	791
370	465	789
371	467	789
372	469	788
373	469	786
374	471	785
375	472	783
376	472	781
377	473	779
378	474	776
379	474	774
380	475	772
381	475	769
382	476	767
383	477	765
384	477	763
385	478	760
386	479	758
387	479	756
388	480	754
389	481	752
390	482	751
391	483	749
392	484	748
393	485	747
394	487	746
395	487	744
396	488	741
397	489	739
398	489	737
399	490	735
400	490	733
401	491	731
402	492	729
403	492	726
404	493	724
405	493	722
406	494	720
407	495	718
408	496	716
409	497	715
410	498	714
411	499	712
412	500	711
413	501	710
414	502	708
415	503	706
416	503	704
417	504	702
418	504	700
419	505	697
420	506	695
421	506	693
422	507	691
423	507	689
424	508	688
425	509	686
426	509	684
427	510	682
428	511	680
429	512	679
430	513	678
431	514	676
432	516	676
433	517	674
434	517	672
435	518	670
436	519	668
437	519	666
438	520	664
439	520	662
440	521	661
441	522	659
442	522	657
443	523	655
444	523	653
445	524	651
446	525	649
447	527	649
448	528	648
449	529	647
450	531	646
451	532	645
452	532	643
453	533	641
454	534	639
455	534	637
456	535	636
457	536	634
458	536	632
459	537	630
460	537	628
461	538	627
462	539	625
463	539	623
464	540	621
465	541	620
466	543	619
467	544	618
468	545	617
469	546	616
470	547	614
471	547	613
472	548	611
473	549	609
474	549	607
475	550	605
476	550	604
477	551	602
478	552	600
479	552	598
480	553	597
481	554	595
482	554	593
483	555	592
484	556	590
485	557	589
486	558	588
487	559	586
488	560	585
489	561	584
490	562	582
491	562	580
492	563	579
493	563	577
494	564	575
495	564	574
496	565	572
497	566	570
498	566	568
499	567	567
500	567	565
501	568	563
502	569	562
503	569	560
504	570	558
505	571	557
506	572	556
507	573	555
508	574	554
509	575	553
510	576	551
511	577	550
512	578	548
513	578	547
514	579	545
515	579	543
516	580	542
517	581	540
518	581	539
519	582	537
520	582	535
521	583	534
522	584	532
523	584	531
524	585	529
525	586	528
526	587	527
527	588	525
528	589	524
529	589	523
530	591	522
531	592	521
532	592	519
533	593	518
534	594	516
535	594	514
536	595	513
537	595	511
538	596	510
539	597	508
540	597	507
541	598	505
542	598	504
543	599	502
544	600	501
545	601	499
546	602	498
547	603	498
548	604	496
549	605	495
550	607	494
551	608	493
552	608	492
553	609	490
554	610	489
555	610	487
556	611	486
557	611	484
558	612	483
559	613	481
560	613	480
561	614	478
562	614	477
563	616	476
564	618	475
565	618	474
566	619	473
567	621	472
568	622	471
569	623	470
570	623	468
571	624	467
572	625	465
573	625	464
574	626	463
575	627	461
576	627	460
577	628	458
578	628	457
579	629	455
580	630	454
581	632	454
582	633	452
583	637	454
584	639	453
585	640	452
586	641	451
587	642	449
588	642	448
589	643	447
590	644	445
591	644	444
592	645	442
593	647	442
594	648	441
595	649	440
596	651	439
597	652	438
598	653	437
599	653	435
600	654	434
601	655	433
602	656	432
603	657	431
604	658	430
605	659	428
606	660	427
607	660	425
608	662	425
609	663	424
610	664	423
611	666	422
612	667	421
613	668	420
614	669	419
615	670	417
616	670	416
617	671	415
618	672	413
619	672	412
620	673	411
621	674	409
622	676	409
623	677	408
624	678	407
625	679	406
626	681	405
627	681	403
628	682	402
629	683	401
630	684	400
631	684	398
632	685	397
633	686	396
634	687	394
635	688	393
636	688	392
637	689	391
638	690	390
639	691	389
640	693	388
641	693	386
642	695	386
643	696	384
644	696	383
645	697	382
646	698	380
647	698	379
648	699	378
